,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,grindavik,63.84,-22.43,50.0,93,90,14.99,IS
1,port-gentil,-0.72,8.78,74.39,81,100,13.47,GA
2,blythe,33.61,-114.6,118.99,9,4,3.0,US
3,rikitea,-23.12,-134.97,72.43,80,10,13.31,PF
4,souillac,-20.52,57.52,66.2,93,40,6.64,MU
5,krasnoselkup,65.7,82.47,49.86,78,100,18.1,RU
6,mataura,-46.19,168.86,45.0,72,16,11.01,NZ
7,te anau,-45.42,167.72,50.94,78,96,2.33,NZ
8,new norfolk,-42.78,147.06,59.0,47,75,16.11,AU
9,yerbogachen,61.28,108.01,56.07,90,100,7.61,RU
10,busselton,-33.65,115.33,64.0,85,100,27.42,AU
11,the valley,18.22,-63.06,84.2,74,20,9.17,AI
12,longyearbyen,78.22,15.64,42.8,100,90,3.36,SJ
13,ahipara,-35.17,173.17,58.42,71,100,13.69,NZ
14,koslan,63.46,48.9,49.59,96,98,5.08,RU
15,punta arenas,-53.15,-70.92,41.0,75,67,14.99,CL
16,massaguet,12.48,15.44,75.2,88,40,9.17,TD
17,kulhudhuffushi,6.62,73.07,78.3,83,100,38.16,MV
18,raga,8.46,25.68,68.59,95,100,5.23,SS
19,hilo,19.73,-155.09,87.8,45,1,11.41,US
20,ostrovnoy,68.05,39.51,54.03,89,87,18.92,RU
21,albany,42.6,-73.97,64.99,62,95,2.89,US
22,bluff,-46.6,168.33,45.0,72,99,11.01,NZ
23,jos,9.92,8.9,63.54,98,100,8.84,NG
24,dikson,73.51,80.55,41.34,90,47,17.69,RU
25,bredasdorp,-34.53,20.04,53.6,93,50,3.36,ZA
26,ushuaia,-54.8,-68.3,39.2,82,20,13.87,AR
27,palmer,42.16,-72.33,62.01,72,40,2.55,US
28,ponta delgada,37.73,-25.67,69.8,68,75,16.11,PT
29,puerto ayora,-0.74,-90.35,66.99,91,90,5.99,EC
30,cape town,-33.93,18.42,55.99,71,0,17.22,ZA
31,saskylakh,71.92,114.08,41.65,88,100,9.8,RU
32,bambous virieux,-20.34,57.76,66.2,93,40,5.75,MU
33,gadung,6.8,124.02,84.85,69,99,4.99,PH
34,mar del plata,-38.0,-57.56,45.0,81,75,5.82,AR
35,manakara,-22.13,48.02,63.79,87,97,5.03,MG
36,hermanus,-34.42,19.23,50.0,96,100,5.17,ZA
37,carbonia,39.17,8.52,73.0,94,0,2.24,IT
38,norman wells,65.28,-126.83,57.2,47,20,3.36,CA
39,berlevag,70.86,29.09,53.02,87,32,10.89,NO
40,kapaa,22.08,-159.32,84.2,62,1,16.11,US
41,poum,-20.23,164.02,73.04,73,1,15.5,NC
42,nome,64.5,-165.41,50.0,66,75,10.29,US
43,tasiilaq,65.61,-37.64,37.4,100,100,1.66,GL
44,port alfred,-33.59,26.89,61.66,87,100,11.97,ZA
45,ekhabi,53.51,142.97,69.71,74,100,5.5,RU
46,karratha,-20.74,116.85,78.42,36,2,2.19,AU
47,zuwarah,32.93,12.08,80.55,62,45,4.45,LY
48,vaini,-21.2,-175.2,75.2,60,75,12.75,TO
49,san jose,37.34,-121.89,98.01,26,75,8.05,US
50,pedra azul,-16.01,-41.3,60.44,94,0,4.65,BR
51,pangkalanbuun,-2.68,111.62,82.26,71,100,4.47,ID
52,shar,49.59,81.05,50.14,52,82,4.61,KZ
53,tuy hoa,13.08,109.3,87.85,62,24,9.28,VN
54,nikolskoye,59.7,30.79,57.99,87,83,4.47,RU
55,touros,-5.2,-35.46,75.2,73,75,6.93,BR
56,borovskoy,53.8,64.15,42.28,90,0,7.09,KZ
57,meulaboh,4.14,96.13,75.88,94,100,8.97,ID
58,mbandaka,0.05,18.26,71.37,91,100,3.2,CD
59,provideniya,64.38,-173.3,45.77,63,100,5.14,RU
60,adrar,20.5,-10.07,91.54,36,76,2.77,MR
61,cidreira,-30.18,-50.21,58.78,96,100,18.92,BR
62,nakhon phanom,17.41,104.78,75.2,100,75,2.24,TH
63,fortuna,40.6,-124.16,72.0,68,1,11.41,US
64,arraial do cabo,-22.97,-42.03,70.61,87,0,16.75,BR
65,lorengau,-2.02,147.27,83.25,75,98,5.46,PG
66,kaeo,-35.1,173.78,60.01,3,100,8.01,NZ
67,liuzhou,24.31,109.39,84.76,73,100,6.98,CN
68,sioux lookout,50.1,-91.92,51.8,87,40,2.24,CA
69,biak,-0.91,122.88,82.94,68,87,8.48,ID
70,yellowknife,62.46,-114.35,50.0,53,75,9.17,CA
71,srednekolymsk,67.45,153.68,55.45,41,88,14.45,RU
72,castro,-24.79,-50.01,63.21,66,2,3.42,BR
73,vao,-22.67,167.48,70.2,72,90,19.1,NC
74,vilhena,-12.74,-60.15,76.03,29,0,3.8,BR
75,kuytun,54.34,101.5,51.42,70,19,3.02,RU
76,huilong,31.81,121.66,80.01,73,0,1.01,CN
77,barrow,71.29,-156.79,39.2,86,90,6.93,US
78,ukiah,39.15,-123.21,105.8,12,1,9.17,US
79,siyabuswa,-25.11,29.04,51.55,82,0,3.62,ZA
80,tuatapere,-46.13,167.68,45.0,72,64,11.01,NZ
81,atuona,-9.8,-139.03,78.87,71,0,23.51,PF
82,khatanga,71.97,102.5,40.28,71,1,5.23,RU
83,verkhoyansk,67.54,133.38,57.74,54,38,5.55,RU
84,thompson,55.74,-97.86,53.6,71,75,3.36,CA
85,lebu,-37.62,-73.65,48.7,85,15,4.45,CL
86,samarai,-10.62,150.67,79.02,85,81,14.54,PG
87,bethel,41.37,-73.41,62.01,77,1,4.7,US
88,vila velha,-20.33,-40.29,71.6,88,40,2.24,BR
89,torbay,47.67,-52.73,64.99,100,90,17.22,CA
90,cardoso,-20.08,-49.91,75.02,27,2,4.68,BR
91,sitka,57.05,-135.33,59.0,67,90,2.66,US
